Label,Tract,County,Total households,Has one or more types of computing devices:,Desktop or laptop,Desktop or laptop with no other type of computing device,Smartphone,Smartphone with no other type of computing device,Tablet or other portable wireless computer,Tablet or other portable wireless computer with no other type of computing device,Other computer,Other computer with no other type of computing device,No computer,With an Internet subscription:,Dial-up with no other type of Internet subscription,Broadband of any type,Cellular data plan,Cellular data plan with no other type of Internet subscription,"Broadband such as cable, fiber optic or DSL",Satellite Internet service,Without an Internet subscription,"Less than $20,000:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$20,000 to $74,999:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$75,000 or more:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription
Estimate,120,Spokane,"1,842","1,762","1,405",180,"1,528",276,912,21,34,0,80,"1,697",7,"1,690","1,476",195,"1,478",77,145,399,7,341,51,947,0,853,94,496,0,496,0
Estimate,121,Spokane,"1,119","1,008",792,40,958,116,655,10,20,0,111,956,0,956,865,181,725,61,163,153,0,105,48,652,0,565,87,314,0,286,28
Estimate,122,Spokane,962,846,690,61,774,116,476,5,16,0,116,772,5,767,700,75,647,60,190,93,0,47,46,565,0,455,110,304,5,265,34
Estimate,123,Spokane,"2,533","2,246","1,773",138,"1,955",275,"1,432",51,46,18,287,"2,147",106,"2,041","1,662",193,"1,685",209,386,558,106,319,133,"1,107",0,873,234,868,0,849,19
Estimate,124.01,Spokane,"2,168","1,825","1,765",106,"1,667",33,"1,428",0,158,0,343,"1,774",0,"1,774","1,574",96,"1,618",154,394,190,0,40,150,732,0,488,244,"1,246",0,"1,246",0
Estimate,124.02,Spokane,"2,447","2,394","2,144",71,"2,242",77,"1,955",0,17,0,53,"2,302",0,"2,302","2,106",140,"1,982",182,145,201,0,120,81,575,0,554,21,"1,671",0,"1,628",43
Estimate,125,Spokane,"1,345","1,221",958,66,"1,132",154,867,0,9,0,124,"1,229",0,"1,229","1,014",130,"1,027",13,116,188,0,122,66,729,0,679,50,428,0,428,0
Estimate,126,Spokane,"1,716","1,644","1,497",112,"1,480",100,"1,115",28,32,0,72,"1,471",0,"1,471","1,198",224,"1,207",99,245,301,0,200,101,867,0,813,54,548,0,458,90
Estimate,127.01,Spokane,"1,846","1,561","1,390",207,"1,314",128,956,5,42,0,285,"1,491",7,"1,484","1,288",131,"1,306",66,355,252,0,104,148,"1,122",7,929,186,472,0,451,21
Estimate,127.02,Spokane,899,857,820,21,821,18,677,0,29,0,42,826,0,826,760,52,744,36,73,27,0,21,6,446,0,388,58,426,0,417,9
Estimate,128.01,Spokane,"1,639","1,591","1,295",73,"1,442",162,"1,072",29,15,0,48,"1,525",0,"1,525","1,358",308,"1,174",132,114,251,0,226,25,770,0,717,53,618,0,582,36
