label,not_US_citizen,naturalized_citizen,naturalized_2015_or_later,naturalized_2010_to_2014,naturalized_2005_to_2009,naturalized_2000_to_2004,naturalized_1995_to_1999,naturalized_1990_to_1994,naturalized_before_1990,tract,county,standardized_not_US_citizen,standardized_naturalized_citizen,standardized_naturalized_2015_or_later,standardized_naturalized_2010_to_2014,standardized_naturalized_2005_to_2009,standardized_naturalized_2000_to_2004,standardized_naturalized_1995_to_1999,standardized_naturalized_1990_to_1994,standardized_naturalized_before_1990,index
Estimate,0,48,0,0,27,0,0,0,21,111.04,Spokane,-0.635862064,-0.634110704,-0.576139264,-0.63210376,0.204711168,-0.566039976,-0.526855293,-0.441810786,-0.087149313,-3.895359993
Estimate,39,119,57,4,13,7,33,0,5,112.02,Spokane,-0.422060709,0.134596179,1.300721654,-0.501212685,-0.183497575,-0.198157069,0.963392536,-0.441810786,-0.826781748,-0.174810203
Estimate,488,102,62,26,0,0,0,0,14,112.03,Spokane,2.03939591,-0.049460398,1.465358577,0.218688232,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-0.410738503,1.184560638
Estimate,45,511,0,255,188,50,0,0,18,112.04,Spokane,-0.389168193,4.378724323,-0.576139264,7.712202314,4.669111718,2.061695074,-0.526855293,-0.441810786,-0.225830395,16.6619295
Estimate,55,133,18,0,57,35,0,0,23,113.01,Spokane,-0.334347333,0.286172185,0.016553658,-0.63210376,1.036587047,1.273374559,-0.526855293,-0.441810786,0.005304741,0.682875016
Estimate,86,361,192,57,0,11,42,0,59,113.02,Spokane,-0.164402667,2.754695697,5.745918565,1.233094068,-0.543977123,0.012061735,1.369823763,-0.441810786,1.669477718,11.63488097
Estimate,117,103,0,22,0,24,13,0,44,114,Spokane,0.005542,-0.038633541,-0.576139264,0.087797156,-0.543977123,0.695272848,0.060212034,-0.441810786,0.976072311,0.224335635
Estimate,24,76,33,15,0,0,10,0,18,115,Spokane,-0.504292,-0.330958693,0.510464426,-0.141262226,-0.543977123,-0.566039976,-0.075265042,-0.441810786,-0.225830395,-2.318971816
Estimate,23,35,0,0,18,0,9,0,8,116,Spokane,-0.509774086,-0.774859851,-0.576139264,-0.63210376,-0.044851596,-0.566039976,-0.120424067,-0.441810786,-0.688100666,-4.354104052
Estimate,10,82,19,47,0,0,8,8,0,117.01,Spokane,-0.581041204,-0.265997548,0.049481042,0.905866379,-0.543977123,-0.566039976,-0.165583092,0.29236741,-1.057916883,-1.932840996
Estimate,429,261,0,86,102,31,0,0,42,117.02,Spokane,1.715952835,1.672009946,-0.576139264,2.182054367,2.284400865,1.063155755,-0.526855293,-0.441810786,0.883618257,8.256386682
Estimate,61,128,0,18,93,0,0,0,17,118,Spokane,-0.301454817,0.232037897,-0.576139264,-0.04309392,2.034838101,-0.566039976,-0.526855293,-0.441810786,-0.272057422,-0.46057548
Estimate,187,144,25,31,0,12,23,15,38,119,Spokane,0.38928802,0.405267617,0.247045349,0.382302076,-0.543977123,0.064616436,0.511802285,0.934773331,0.698710148,3.08982814
Estimate,7,76,0,0,10,38,7,0,21,120,Spokane,-0.597487462,-0.330958693,-0.576139264,-0.63210376,-0.266685163,1.431038662,-0.210742117,-0.441810786,-0.087149313,-1.712037897
Estimate,13,61,0,48,13,0,0,0,0,121,Spokane,-0.564594946,-0.493361556,-0.576139264,0.938589148,-0.183497575,-0.566039976,-0.526855293,-0.441810786,-1.057916883,-3.471627132
Estimate,18,38,0,0,12,12,0,0,14,122,Spokane,-0.537184516,-0.742379279,-0.576139264,-0.63210376,-0.211226771,0.064616436,-0.526855293,-0.441810786,-0.410738503,-4.013821737
Estimate,210,224,48,48,125,0,0,0,3,123,Spokane,0.515375999,1.271416218,1.004375193,0.938589148,2.922172372,-0.566039976,-0.526855293,-0.441810786,-0.919235802,4.197987072
Estimate,23,102,0,0,7,15,0,26,54,124.01,Spokane,-0.509774086,-0.049460398,-0.576139264,-0.63210376,-0.349872751,0.222280539,-0.526855293,1.94426835,1.438342582,0.960685919
Estimate,203,154,0,22,25,0,22,21,64,124.02,Spokane,0.477001397,0.513536192,-0.576139264,0.087797156,0.149252776,-0.566039976,0.46664326,1.485406978,1.900612854,3.938071372
Estimate,154,149,50,24,39,0,18,0,18,125,Spokane,0.208379182,0.459401905,1.070229963,0.153242694,0.53746152,-0.566039976,0.286007159,-0.441810786,-0.225830395,1.481041264
Estimate,10,174,0,91,10,69,0,0,4,126,Spokane,-0.581041204,0.730073342,-0.576139264,2.345668211,-0.266685163,3.060234393,-0.526855293,-0.441810786,-0.873008775,2.870435462
Estimate,268,176,48,45,31,13,29,0,10,127.01,Spokane,0.833336987,0.751727057,1.004375193,0.840420841,0.315627952,0.117171137,0.782756436,-0.441810786,-0.595646612,3.607958206
Estimate,112,24,5,0,0,0,5,0,14,127.02,Spokane,-0.021868431,-0.893955284,-0.411502341,-0.63210376,-0.543977123,-0.566039976,-0.301060168,-0.441810786,-0.410738503,-4.223056372
