label,one_or_more_computing_devices,desktop_or_laptop,desktop_or_laptop_only,smartphone,smartphone_only,tablet_or_portable_computer,tablet_or_portable_computer_only,other,other_only,no_computer,tract,county,standardized_one_or_more_computing_devices,standardized_desktop_or_laptop,standardized_desktop_or_laptop_only,standardized_smartphone,standardized_smartphone_only,standardized_tablet_or_portable_computer,standardized_tablet_or_portable_computer_only,standardized_other,standardized_other_only,standardized_no_computer,index
Estimate,2264,1993,63,2149,89,1843,0,14,0,137,105.06,Spokane,1.595967038,1.476816685,-0.387260076,#REF!,-0.213612509,2.238222891,-0.803588293,-0.587041335,-0.152548567,0.440295774,#REF!
Estimate,1590,1498,75,1475,46,1141,17,24,0,68,105.07,Spokane,0.367583025,0.553576937,-0.163758597,#REF!,-0.724684822,0.536748609,0.130977382,-0.18210894,-0.152548567,-0.434682938,#REF!
Estimate,1313,1244,42,1257,55,1034,0,0,0,9,105.08,Spokane,-0.137257288,0.079833714,-0.778387663,#REF!,-0.617716199,0.277407087,-0.803588293,-1.153946687,-0.152548567,-1.182853141,#REF!
Estimate,1291,1222,43,1193,47,959,6,15,0,81,106.01,Spokane,-0.177352909,0.038800836,-0.75976254,#REF!,-0.71279942,0.095625647,-0.473741584,-0.546548095,-0.152548567,-0.269831876,#REF!
Estimate,1884,1757,51,1714,65,1496,19,0,0,26,106.03,Spokane,0.903406319,1.036645815,-0.610761554,#REF!,-0.498862173,1.39718076,0.240926285,-1.153946687,-0.152548567,-0.967278675,#REF!
Estimate,1273,1254,65,1208,19,918,0,10,0,69,106.04,Spokane,-0.210158417,0.098485022,-0.350009829,#REF!,-1.045590693,-0.003748207,-0.803588293,-0.749014293,-0.152548567,-0.422002087,#REF!
Estimate,1447,1371,43,1392,56,1109,0,43,0,15,107.01,Spokane,0.106961492,0.316705326,-0.75976254,#REF!,-0.605830796,0.459188527,-0.803588293,0.587262609,-0.152548567,-1.106768035,#REF!
Estimate,1135,1076,48,1018,11,1013,39,118,0,27,107.02,Spokane,-0.46166731,-0.233508261,-0.666636924,#REF!,-1.140673914,0.226508284,1.340415314,3.624255568,-0.152548567,-0.954597825,#REF!
Estimate,823,709,67,711,77,492,13,17,0,148,108,Spokane,-1.030296111,-0.918011266,-0.312759583,#REF!,-0.356237341,-1.036266789,-0.088920424,-0.465561616,-0.152548567,0.579785133,#REF!
Estimate,803,649,47,719,88,513,28,30,0,10,109.01,Spokane,-1.066746675,-1.029919114,-0.685262047,#REF!,-0.225497912,-0.985367986,0.735696348,0.060850496,-0.152548567,-1.17017229,#REF!
Estimate,685,642,22,636,22,515,0,19,0,0,109.02,Spokane,-1.281805004,-1.04297503,-1.150890128,#REF!,-1.009934485,-0.980520481,-0.803588293,-0.384575138,-0.152548567,-1.296980799,#REF!
Estimate,1388,1187,64,1291,148,908,8,35,7,88,110,Spokane,-0.000567673,-0.026478742,-0.368634952,#REF!,0.487626245,-0.027985733,-0.363792682,0.263316694,1.801598578,-0.18106592,#REF!
Estimate,1627,1375,18,1530,135,965,10,31,0,102,111.02,Spokane,0.435016569,0.324165849,-1.225390621,#REF!,0.333116011,0.110168162,-0.253843779,0.101343736,-0.152548567,-0.003534008,#REF!
Estimate,1422,1180,133,1105,90,981,98,20,0,263,111.03,Spokane,0.061398286,-0.039534658,0.91649855,#REF!,-0.201727107,0.148948202,4.58390795,-0.344081898,-0.152548567,2.038082986,#REF!
Estimate,1164,776,0,1063,301,584,13,44,0,130,111.04,Spokane,-0.408813992,-0.793047502,-1.560642838,#REF!,2.306092847,-0.813281555,-0.088920424,0.627755849,-0.152548567,0.351529817,#REF!
Estimate,1527,1383,117,1390,77,918,5,41,0,75,112.02,Spokane,0.252763748,0.339086895,0.618496578,#REF!,-0.356237341,-0.003748207,-0.528716036,0.50627613,-0.152548567,-0.345916982,#REF!
Estimate,2321,1850,176,2092,315,1235,18,15,0,337,112.03,Spokane,1.699851146,1.21010298,1.717378848,#REF!,2.472488484,0.764581347,0.185951833,-0.546548095,-0.152548567,2.976465952,#REF!
Estimate,880,796,22,840,54,652,18,0,0,101,112.04,Spokane,-0.926412003,-0.755744886,-1.150890128,#REF!,-0.629601601,-0.648466383,0.185951833,-1.153946687,-0.152548567,-0.016214859,#REF!
Estimate,1465,1446,17,1415,0,1119,0,28,0,127,113.01,Spokane,0.139766999,0.456590136,-1.244015744,#REF!,-1.271413343,0.483426053,-0.803588293,-0.020135982,-0.152548567,0.313487265,#REF!
Estimate,1996,1688,52,1846,135,1435,65,43,0,19,113.02,Spokane,1.107529478,0.90795179,-0.592136431,#REF!,0.333116011,1.249331855,2.769751052,0.587262609,-0.152548567,-1.056044632,#REF!
Estimate,1987,1923,191,1719,55,1339,0,49,0,128,114,Spokane,1.091126724,1.346257529,1.996755696,#REF!,-0.617716199,1.016651611,-0.803588293,0.830222046,-0.152548567,0.326168116,#REF!
Estimate,603,533,24,568,41,437,0,6,0,26,115,Spokane,-1.431252317,-1.246274287,-1.113639881,#REF!,-0.784111836,-1.169573179,-0.803588293,-0.91098725,-0.152548567,-0.967278675,#REF!
Estimate,713,618,27,659,60,413,11,30,0,51,116,Spokane,-1.230774214,-1.087738169,-1.057764512,#REF!,-0.558289186,-1.22774324,-0.198869327,0.060850496,-0.152548567,-0.650257403,#REF!
Estimate,1004,805,129,801,85,568,66,7,0,116,117.01,Spokane,-0.700418505,-0.738958709,0.841998057,#REF!,-0.26115412,-0.852061596,2.824725503,-0.870494011,-0.152548567,0.173997905,#REF!
Estimate,3083,2471,194,2816,453,1898,0,81,0,146,117.02,Spokane,3.088617642,2.368349209,2.052631066,#REF!,4.112674046,2.371529281,-0.803588293,2.126005708,-0.152548567,0.554423432,#REF!
Estimate,2470,1765,187,2230,235,1416,32,15,0,377,118,Spokane,1.971407849,1.051566862,1.922255203,#REF!,1.521656274,1.203280557,0.955594154,-0.546548095,-0.152548567,3.483699988,#REF!
Estimate,1873,1744,51,1787,52,1076,6,0,0,189,119,Spokane,0.883358509,1.012399115,-0.610761554,#REF!,-0.653372407,0.379204694,-0.473741584,-1.153946687,-0.152548567,1.09970002,#REF!
Estimate,1762,1405,180,1528,276,912,21,34,0,80,120,Spokane,0.681057877,0.380119773,1.791879341,#REF!,2.008957782,-0.018290723,0.350875187,0.222823454,-0.152548567,-0.282512727,#REF!
Estimate,1008,792,40,958,116,655,10,20,0,111,121,Spokane,-0.693128392,-0.763205409,-0.81563791,#REF!,0.107293361,-0.641195125,-0.253843779,-0.344081898,-0.152548567,0.11059365,#REF!
Estimate,846,690,61,774,116,476,5,16,0,116,122,Spokane,-0.988377962,-0.953448751,-0.424510322,#REF!,0.107293361,-1.07504683,-0.528716036,-0.506054856,-0.152548567,0.173997905,#REF!
